样本编号,来源文件,决策时刻,主玩家ID,主玩家队伍,主玩家角色,决策日志,决策内容,决策参数1,决策参数2,主玩家位置X,主玩家位置Y,主玩家位置Z,主玩家武器偏航角,主玩家武器俯仰角,主玩家速度X,主玩家速度Y,主玩家速度Z,主玩家速度大小,主玩家相机X坐标,主玩家相机Y坐标,主玩家相机Z坐标,主玩家视野范围,主玩家开镜状态,主玩家Buff数量,主玩家Buff列表,当前已追踪玩家数量,敌方玩家数量,队友玩家数量,敌人平均距离,队友平均距离,10米内敌人数,20米内敌人数,10米内队友数,20米内队友数,最近敌人ID,最近敌人队伍,最近敌人角色,最近敌人距离,最近敌人相对位置X,最近敌人相对位置Y,最近敌人相对位置Z,最近敌人位置X,最近敌人位置Y,最近敌人位置Z,最近敌人武器偏航角,最近敌人武器俯仰角,最近敌人速度X,最近敌人速度Y,最近敌人速度Z,最近敌人速度大小,最近敌人相机X坐标,最近敌人相机Y坐标,最近敌人相机Z坐标,最近敌人视野范围,最近敌人开镜状态,最近敌人Buff数量,最近敌人Buff列表,最近队友ID,最近队友队伍,最近队友角色,最近队友距离,最近队友相对位置X,最近队友相对位置Y,最近队友相对位置Z,最近队友位置X,最近队友位置Y,最近队友位置Z,最近队友武器偏航角,最近队友武器俯仰角,最近队友速度X,最近队友速度Y,最近队友速度Z,最近队友速度大小,最近队友相机X坐标,最近队友相机Y坐标,最近队友相机Z坐标,最近队友视野范围,最近队友开镜状态,最近队友Buff数量,最近队友Buff列表
177,task/0177.txt,20.0,1946,6,无名,,,,,3380.3,-174.3,-7609.1,-69.2,0.0,0.0,0.0,0.0,0.0,3380.3,-173.6,-7609.1,90.0,0.0,8,26；27；28；29；30；40；6；7,15,13,1,419.0214595502084,2.071231517720602,0,0,1,1,9453,2,50003,341.9001754898641,304.1999999999998,4.700000000000017,-156.0,3684.5,-169.6,-7765.1,-29.2,0.0,0.0,0.0,0.0,0.0,3684.5,-168.9,-7765.1,90.0,0.0,1,25,1545,6,无名,2.071231517720602,-1.900000000000091,0.20000000000001705,-0.7999999999992724,3378.4,-174.1,-7609.9,-69.2,0.0,0.0,0.0,0.0,0.0,3378.4,-173.5,-7609.9,90.0,0.0,2,10；11
178,task/0178.txt,20.0,3681,3,骇爪,,,,,3693.3,-250.3,-4521.3,48.6,0.0,0.0,0.0,0.0,0.0,3693.3,-249.7,-4521.3,90.0,0.0,13,101；102；28；29；41；44；45；46；47；48；49；50；51,20,17,2,247.8117228868914,2.031806725741345,0,0,2,2,3910,5,骇爪,162.75653596706937,149.0999999999999,2.8000000000000114,65.19999999999982,3842.4,-247.5,-4456.1,142.9,0.0,0.0,0.0,0.0,0.0,3842.4,-246.8,-4456.1,90.0,0.0,13,117；118；33；34；43；84；85；86；87；88；89；90；91,2703,3,疾风,1.6552945357246078,-1.5,0.0,0.6999999999998181,3691.8,-250.3,-4520.6,16.5,0.0,0.0,0.0,0.0,0.0,3691.8,-249.7,-4520.6,90.0,0.0,16,103；105；35；36；42；72；73；74；75；76；77；78；79；80；81；82
179,task/0179.txt,20.0,9541,7,蜂医,,,,,614.1,-129.8,-627.6,283.8,23.0,0.0,0.0,0.0,0.0,614.1,-129.1,-627.6,90.0,0.0,0,,23,5,0,220.82441434054667,,0,0,0,0,7700,2,蜂医,180.96543868927023,-148.40000000000003,41.70000000000002,94.80000000000007,465.7,-88.1,-532.8,186.7,336.1,-4.4,-3.1,-0.5,5.405552700695832,465.7,-87.5,-532.8,90.0,0.0,5,1632；1633；1634；1635；1636,,,,,,,,,,,,,,,,,,,,,,0,
180,task/0180.txt,20.0,1946,6,无名,,,,,3380.3,-174.3,-7609.1,-69.2,0.0,0.0,0.0,0.0,0.0,3380.3,-173.6,-7609.1,90.0,0.0,8,26；27；28；29；30；40；6；7,15,13,1,419.0214595502084,2.071231517720602,0,0,1,1,9453,2,50003,341.9001754898641,304.1999999999998,4.700000000000017,-156.0,3684.5,-169.6,-7765.1,-29.2,0.0,0.0,0.0,0.0,0.0,3684.5,-168.9,-7765.1,90.0,0.0,1,25,1545,6,无名,2.071231517720602,-1.900000000000091,0.20000000000001705,-0.7999999999992724,3378.4,-174.1,-7609.9,-69.2,0.0,0.0,0.0,0.0,0.0,3378.4,-173.5,-7609.9,90.0,0.0,2,10；11
181,task/0181.txt,20.0,7292,4,露娜,,,,,3787.1,-239.9,-4821.5,228.0,20.5,0.7,0.0,2.9,2.9832867780352594,3787.1,-239.2,-4821.5,90.0,0.0,0,,21,16,2,288.89332005243136,17.037439659685926,0,2,0,1,5575,7,蝶,10.519030373565885,-6.599999999999909,-2.5,-7.800000000000182,3780.5,-242.4,-4829.3,35.1,9.8,0.0,0.0,0.0,0.0,3780.5,-241.8,-4829.3,77.3,0.0,0,,5853,4,深蓝,12.955693729013133,-1.199999999999818,0.0,12.899999999999636,3785.9,-239.9,-4808.6,111.1,358.8,0.5,0.0,1.9,1.96468827043885,3785.9,-239.2,-4808.6,120.0,0.0,0,
182,task/0182.txt,20.0,5268,4,威龙,,,,,6549.6,-222.4,-4683.6,226.1,357.5,-0.4,1.5,-0.4,1.6031219541881399,6549.6,-221.8,-4683.6,104.8,0.0,8,859；861；863；864；873；875；876；877,16,5,2,93.32827721558093,28.81381958459852,0,1,0,0,0573,1,疾风,19.879134790025066,17.0,-0.29999999999998295,-10.299999999999272,6566.6,-222.7,-4693.9,171.4,354.3,0.0,0.0,0.0,0.0,6566.6,-222.0,-4693.9,110.6,0.0,4,860；865；866；867,6533,4,露娜,22.380795338861514,-14.800000000000182,-3.0999999999999943,16.5,6534.8,-225.5,-4667.1,120.9,358.2,0.0,0.0,0.0,0.0,6534.8,-225.5,-4667.1,120.0,0.0,4,868；869；870；872
183,task/0183.txt,20.0,8304,4,30008,,,,,3742.1,-245.5,-4614.5,39.3,336.6,3.7,0.3,1.0,3.844476557348217,3742.1,-244.9,-4614.5,120.0,0.0,0,,20,17,2,199.21816506789153,47.15472831314588,0,0,0,0,5223,5,骇爪,24.357545032288986,6.300000000000182,-7.199999999999989,22.399999999999636,3748.4,-252.7,-4592.1,233.9,357.7,-0.6,0.0,-0.8,1.0,3748.1,-252.0,-4591.9,85.6,0.0,0,,9956,4,骇爪,45.649205907661056,41.20000000000027,-1.5,19.600000000000364,3783.3,-247.0,-4594.9,168.8,356.5,-0.1,0.0,0.0,0.1,3783.3,-246.4,-4594.9,120.0,0.0,0,
184,task/0184.txt,20.0,5801,7,银翼,,,,,3829.8,-247.7,-4575.5,174.9,355.7,0.0,0.0,0.0,0.0,3829.9,-247.1,-4575.1,90.5,0.0,0,,19,13,1,211.9326193135717,2.736786436681069,0,0,1,1,8515,5,骇爪,39.38768843179322,-34.100000000000364,0.6999999999999886,-19.699999999999818,3795.7,-247.0,-4595.2,193.7,353.3,-3.7,0.0,-2.9,4.701063709417263,3795.7,-246.4,-4595.2,100.0,0.0,0,,3466,7,银翼,2.736786436681069,0.7999999999997272,-0.30000000000001137,-2.600000000000364,3830.6,-248.0,-4578.1,176.4,6.1,0.0,0.0,0.0,0.0,3830.6,-248.1,-4578.1,110.0,0.0,0,
185,task/0185.txt,20.0,9391,4,骇爪,,,,,531.2,-86.8,-480.4,34.6,360.0,0.0,0.0,0.0,0.0,531.2,-86.2,-480.4,99.0,0.0,12,1137；1140；1141；1142；1143；1144；1145；1154；1186；1208；1209；1212,18,10,2,72.6768913312114,17.113728018579813,1,2,1,1,3521,3,骇爪,7.433034373659254,2.199999999999932,0.0,-7.100000000000023,533.4,-86.8,-487.5,156.1,4.4,-1.1,0.0,-0.4,1.1704699910719625,533.4,-86.2,-487.5,90.0,0.0,11,1146；1147；1148；1149；1150；1167；1168；1169；1170；1171；1172,8826,4,蝶,1.360147050873557,-0.8000000000000682,0.0,1.099999999999966,530.4,-86.8,-479.3,333.9,356.8,1.5,0.0,3.3,3.6249137920783716,530.4,-86.1,-479.3,90.0,0.0,12,1138；1139；1155；1163；1164；1165；1175；1176；1184；1185；1187；1198
186,task/0186.txt,20.0,1723,8,骇爪,,,,,3620.2,-249.3,-4719.9,201.6,317.6,-0.4,0.0,0.1,0.4123105625617661,3620.2,-248.7,-4719.9,99.0,0.0,0,,19,8,2,404.69999472088,8.990969629764681,0,0,2,2,0287,3,银翼,228.51958340588678,203.0,5.400000000000006,-104.80000000000018,3823.2,-243.9,-4824.7,170.1,351.7,-7.9,-0.2,4.0,8.857200460642177,3823.2,-243.3,-4824.7,90.0,0.0,0,,1397,8,比特,8.810788840961353,8.100000000000364,1.9000000000000057,-2.9000000000005457,3628.3,-247.4,-4722.8,82.1,346.2,0.0,0.0,0.1,0.1,3628.3,-246.8,-4722.8,120.0,0.0,0,
187,task/0187.txt,20.0,1723,8,骇爪,,,,,3583.4,-239.3,-4418.5,229.0,330.8,-3.9,0.0,-4.7,6.107372593840989,3583.4,-238.7,-4418.5,99.0,0.0,0,,19,5,2,289.6739776476848,14.223106683393185,0,0,1,1,5190,2,50003,203.75487724223925,193.19999999999982,9.0,64.10000000000036,3776.6,-230.3,-4354.4,194.7,353.2,-4.4,0.0,-1.1,4.535416188179427,3776.6,-229.6,-4354.4,90.0,0.0,1,1806,4714,8,红狼,6.918092222571393,-3.900000000000091,-4.799999999999983,-3.100000000000364,3579.5,-244.1,-4421.6,241.7,12.2,0.9,0.7,-0.9,1.452583904633395,3579.6,-243.7,-4421.6,95.0,0.0,0,
188,task/0188.txt,20.0,5801,7,银翼,,,,,3962.5,-250.3,-4555.5,109.9,0.0,0.0,0.0,0.0,0.0,3962.5,-249.7,-4555.5,90.0,0.0,10,18；36；37；38；39；40；41；42；43；61,19,17,1,289.0128404649603,3.623534186398442,0,0,1,1,0287,3,银翼,155.2581398832282,-118.90000000000009,2.8000000000000114,99.80000000000018,3843.6,-247.5,-4455.7,140.9,0.0,0.0,0.0,0.0,0.0,3843.6,-246.8,-4455.7,90.0,0.0,8,194；195；196；197；198；199；200；6,3466,7,银翼,3.623534186398442,1.699999999999818,0.0,-3.199999999999818,3964.2,-250.3,-4558.7,109.9,0.0,0.0,0.0,0.0,0.0,3964.2,-249.7,-4558.7,90.0,0.0,9,11；62；63；64；65；66；67；68；95
189,task/0189.txt,20.0,1723,8,骇爪,,,,,3626.0,-249.3,-4717.4,250.3,351.0,-0.1,0.0,-2.3,2.3021728866442674,3626.0,-248.7,-4717.4,99.0,0.0,0,,19,8,2,399.8347118941068,5.041646464596093,0,0,2,2,0287,3,银翼,231.01551895922515,208.0,4.900000000000006,-100.40000000000055,3834.0,-244.4,-4817.8,221.5,352.7,-0.1,0.1,-0.1,0.17320508075688776,3834.0,-244.4,-4817.8,90.0,0.0,0,,1397,8,比特,4.474371464239913,0.900000000000091,2.0,-3.9000000000005457,3626.9,-247.3,-4721.3,54.1,341.6,0.0,0.0,0.0,0.0,3626.9,-247.3,-4721.3,120.0,0.0,0,
190,task/0190.txt,20.0,1946,6,无名,,,,,3380.3,-174.3,-7609.1,-69.2,0.0,0.0,0.0,0.0,0.0,3380.3,-173.6,-7609.1,90.0,0.0,8,26；27；28；29；30；40；6；7,15,13,1,419.0214595502084,2.071231517720602,0,0,1,1,9453,2,50003,341.9001754898641,304.1999999999998,4.700000000000017,-156.0,3684.5,-169.6,-7765.1,-29.2,0.0,0.0,0.0,0.0,0.0,3684.5,-168.9,-7765.1,90.0,0.0,1,25,1545,6,无名,2.071231517720602,-1.900000000000091,0.20000000000001705,-0.7999999999992724,3378.4,-174.1,-7609.9,-69.2,0.0,0.0,0.0,0.0,0.0,3378.4,-173.5,-7609.9,90.0,0.0,2,10；11
191,task/0191.txt,20.0,1723,8,骇爪,,,,,3645.4,-247.4,-4426.0,342.0,346.6,4.5,0.0,2.3,5.053711507397311,3645.4,-246.7,-4426.0,99.0,0.0,0,,19,6,2,235.7993538738408,6.8259727241553625,0,0,2,2,6591,2,50003,169.54158781844632,161.29999999999973,3.5,52.100000000000364,3806.7,-243.9,-4373.9,103.9,0.4,2.6,0.0,0.6,2.668332812825267,3806.7,-243.2,-4373.9,77.3,0.0,3,1712；1713；1714,1397,8,比特,4.342810150121473,4.299999999999727,0.09999999999999432,0.6000000000003638,3649.7,-247.3,-4425.4,65.8,342.4,1.9,0.0,1.2,2.247220505424423,3649.7,-246.7,-4425.4,120.0,0.0,0,
192,task/0192.txt,20.0,8304,4,30008,,,,,3738.4,-246.1,-4617.0,75.0,353.6,-1.1,1.1,3.5,3.8301436004411116,3738.4,-245.5,-4617.0,120.0,0.0,0,,20,17,2,202.91381970934367,52.640171279934755,0,0,0,0,5223,5,骇爪,28.319074843645613,10.400000000000091,-6.599999999999994,25.5,3748.8,-252.7,-4591.5,233.9,357.7,-0.3,0.0,0.2,0.36055512754639896,3748.5,-252.0,-4591.3,85.6,0.0,0,,1460,4,蝶,51.488056867588334,49.5,-1.4000000000000057,14.100000000000364,3787.9,-247.5,-4602.9,338.3,355.7,0.0,0.0,0.0,0.0,3787.9,-247.5,-4602.9,95.0,0.0,0,
193,task/0193.txt,20.0,5873,3,蜂医,,,,,6827.4,-229.2,-4644.7,286.9,10.5,0.0,0.0,0.0,0.0,6827.4,-228.8,-4644.7,84.0,0.0,0,,17,8,2,208.56440665340017,2.7331282345260064,0,0,2,2,0565,1,乌鲁鲁,171.50597657224645,-95.09999999999945,11.0,142.30000000000018,6732.3,-218.2,-4502.4,287.8,348.8,1.3,0.0,-4.0,4.205948168962618,6732.3,-217.6,-4502.4,120.0,0.0,1,865,3940,3,蜂医,1.3638181696987561,0.1000000000003638,1.299999999999983,-0.4000000000005457,6827.5,-227.9,-4645.1,87.0,285.3,0.0,-0.1,0.3,0.31622776601683794,6827.5,-227.5,-4645.1,77.3,0.0,0,
194,task/0194.txt,20.0,5801,7,银翼,,,,,3829.5,-248.0,-4576.0,199.4,355.9,0.0,0.0,0.0,0.0,3829.6,-247.5,-4576.0,110.0,0.0,0,,19,13,1,215.69180148443758,3.24499614791754,0,0,1,1,7649,5,疾风,85.28651710557794,-81.30000000000018,-4.900000000000006,-25.300000000000182,3748.2,-252.9,-4601.3,278.9,2.3,0.0,0.0,0.0,0.0,3748.2,-252.5,-4601.3,89.0,0.0,5,1000；996；997；998；999,3466,7,银翼,3.24499614791754,1.800000000000182,0.0,-2.699999999999818,3831.3,-248.0,-4578.7,50.1,358.4,0.0,0.0,0.0,0.0,3831.3,-248.1,-4578.7,110.0,0.0,1,1001
195,task/0195.txt,20.0,8131,1,露娜,,,,,6753.2,-211.7,-4501.2,339.7,308.0,0.0,0.0,0.0,0.0,6753.2,-211.1,-4501.2,90.0,0.0,0,,18,0,2,,60.483130540336006,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0274,1,威龙,39.85812338783628,-29.5,-6.900000000000006,25.899999999999636,6723.7,-218.6,-4475.3,175.9,351.5,-7.8,4.9,0.2,9.213576938409968,6723.7,-217.9,-4475.3,90.9,0.0,3,1134；1135；1136
196,task/0196.txt,20.0,5268,4,威龙,,,,,6781.7,-222.2,-4620.2,94.8,5.3,-1.0,2.1,11.5,11.732859838931,6781.7,-221.5,-4620.2,104.8,0.0,19,257；258；259；260；261；264；267；268；269；270；284；285；286；287；288；301；302；303；304,16,13,2,296.63460820696775,15.465689557656589,0,0,1,1,3030,7,露娜,150.4830555245337,83.30000000000018,7.5,125.09999999999945,6865.0,-214.7,-4495.1,284.4,354.0,-0.5,0.0,-0.1,0.5099019513592785,6865.0,-214.1,-4495.1,18.9,0.0,2,240；248,6533,4,露娜,4.273172123843896,-1.699999999999818,-0.4000000000000057,3.899999999999636,6780.0,-222.6,-4616.3,106.6,357.2,-1.4,0.9,4.6,4.891829923454003,6780.0,-221.9,-4616.3,120.0,0.0,5,251；253；262；265；266
197,task/0197.txt,19.95,9754,6,威龙,,,,,3414.5,-168.6,-7868.1,3.3,352.8,0.4,-0.1,-2.3,2.336664289109584,3414.5,-168.0,-7868.1,90.0,0.0,14,346；347；348；349；350；354；361；362；363；364；365；366；367；368,14,7,2,350.7694556679322,120.6244535155638,0,0,0,0,1599,2,蜂医,104.44716367618557,-60.59999999999991,18.19999999999999,-83.09999999999945,3353.9,-150.4,-7951.2,310.2,343.7,4.3,-5.2,-4.7,8.223138087129511,3353.9,-149.8,-7951.2,90.0,0.0,0,,7084,6,蜂医,80.8483147628941,-7.400000000000091,-1.200000000000017,80.5,3407.1,-169.8,-7787.6,281.6,349.6,2.1,0.0,-3.2,3.8275318418009276,3407.1,-169.2,-7787.6,90.0,0.0,0,
198,task/0198.txt,20.0,8184,2,骇爪,,,,,3656.9,-250.7,-4720.9,119.9,345.8,-2.6,0.0,4.0,4.770744176750625,3656.9,-250.0,-4720.9,100.0,0.0,0,,20,13,2,229.73912357245698,20.145737118772896,0,0,0,1,9267,1,红狼,107.16622602294105,-71.0,11.799999999999983,-79.40000000000055,3585.9,-238.9,-4800.3,50.0,0.0,0.0,0.0,0.0,0.0,3585.9,-238.2,-4800.3,90.0,0.0,0,,6138,2,比特,10.42209192053079,2.099999999999909,5.0,8.899999999999636,3659.0,-245.7,-4712.0,8.2,351.9,0.0,0.0,0.0,0.0,3659.0,-245.7,-4712.0,78.9,0.0,0,
199,task/0199.txt,20.0,5801,7,银翼,,,,,3829.5,-247.7,-4576.1,292.9,351.3,0.0,0.0,0.0,0.0,3829.5,-247.1,-4576.1,110.0,0.0,1,950,19,13,1,210.95848519169087,2.839013913315144,0,0,1,1,8515,5,骇爪,36.073536006329796,-33.19999999999982,0.5,-14.099999999999454,3796.3,-247.2,-4590.2,276.3,5.5,0.0,-9.2,0.0,9.2,3796.3,-247.3,-4590.2,100.0,0.0,0,,3466,7,银翼,2.839013913315144,1.099999999999909,-0.30000000000001137,-2.5999999999994543,3830.6,-248.0,-4578.7,89.7,11.0,0.0,0.0,0.0,0.0,3830.6,-248.1,-4578.7,77.3,0.0,0,
200,task/0200.txt,20.0,3196,4,蜂医,,,,,6749.3,-222.6,-4424.5,143.3,358.2,-3.1,0.0,2.3,3.8600518131237567,6749.3,-221.9,-4424.5,120.0,0.0,2,568；576,16,10,2,244.5295457207845,25.817481824779158,0,0,0,0,7585,7,露娜,137.18618735135092,-90.5,13.599999999999994,-102.19999999999982,6658.8,-209.0,-4526.7,337.3,349.5,2.1,3.6,-0.8,4.243819034784589,6658.8,-208.4,-4526.7,91.7,0.0,2,560；561,3697,4,蜂医,21.75821683870234,6.699999999999818,-0.20000000000001705,-20.699999999999818,6756.0,-222.8,-4445.2,106.1,356.6,-1.1,0.0,3.9,4.052159917870962,6756.0,-222.2,-4445.2,107.1,0.0,2,572；575
201,task/0201.txt,20.0,3355,5,骇爪,,,,,4018.5,-139.1,-7544.6,173.0,2.0,-0.0,0.0,0.0,0.0,4018.5,-139.2,-7544.6,105.0,0.0,0,,15,6,1,241.36218899952664,1.0099504938361983,0,0,1,1,9200,1,骇爪,196.81669136534077,-150.19999999999982,-16.599999999999994,-126.09999999999945,3868.3,-155.7,-7670.7,266.1,1.1,1.3,0.2,0.5,1.407124727947029,3868.3,-155.0,-7670.7,90.0,0.0,11,1317；1318；1319；1320；1321；1322；1323；1324；1325；1326；1327,9800,5,露娜,1.0099504938361983,0.09999999999990905,-0.09999999999999432,-1.0,4018.6,-139.2,-7545.6,96.3,2.5,0.0,0.0,0.0,0.0,4018.6,-139.2,-7545.6,84.0,0.0,0,
202,task/0202.txt,20.0,4805,5,疾风,,,,,6783.0,-222.4,-4645.1,96.8,6.2,-1.1,0.0,-0.1,1.104536101718726,6782.6,-221.8,-4645.2,77.3,0.0,4,483；484；485；486,16,11,2,165.0773087707163,21.975016279052046,0,0,1,1,5470,7,蜂医,93.62168552210565,-63.30000000000018,12.700000000000017,67.80000000000018,6719.7,-209.7,-4577.3,69.8,0.5,0.0,0.0,0.0,0.0,6719.7,-209.8,-4577.3,71.5,0.0,5,469；470；471；472；473,5141,5,红狼,3.30756708170841,2.699999999999818,-0.19999999999998863,1.9000000000005457,6785.7,-222.6,-4643.2,118.5,358.6,-1.8,0.0,0.5,1.8681541692269406,6785.7,-221.9,-4643.2,90.0,0.0,0,
203,task/0203.txt,20.0,0853,6,威龙,,,,,3199.4,-163.9,-7640.0,0.0,0.0,0.0,0.0,0.0,0.0,3199.4,-164.0,-7640.0,89.9,0.0,0,,13,5,0,591.2788635453469,,0,0,0,0,1790,5,银翼,516.6164050821458,440.5,2.5,-269.89999999999964,3639.9,-161.4,-7909.9,37.9,353.3,0.1,-0.5,1.1,1.2124355652982142,3639.9,-161.5,-7909.9,90.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,0,
204,task/0204.txt,20.0,5400,4,威龙,,,,,6589.6,-222.6,-4565.6,323.4,2.2,6.2,0.0,-4.6,7.720103626247513,6589.6,-221.9,-4565.6,120.0,0.0,14,285；307；308；309；310；311；312；313；314；315；316；317；318；329,16,13,2,228.0449994967589,5.256810513753306,0,0,2,2,1470,7,露娜,133.7423268827038,-109.60000000000036,2.6999999999999886,-76.59999999999945,6480.0,-219.9,-4642.2,158.8,357.1,0.5,0.0,1.2,1.3,6480.0,-219.5,-4642.2,90.0,0.0,6,304；305；306；321；322；323,8645,4,露娜,4.837354648979243,-4.800000000000182,0.0,-0.5999999999994543,6584.8,-222.6,-4566.2,14.6,355.2,7.0,0.0,1.8,7.227724399837061,6584.8,-221.9,-4566.2,90.0,0.0,5,281；284；292；296；303
205,task/0205.txt,20.0,9061,4,蝶,,,,,6773.6,-220.0,-4480.7,14.3,336.7,0.0,0.0,0.0,0.0,6773.6,-220.0,-4480.7,90.0,0.0,2,419；420,18,12,2,143.85293837940216,34.98644254337913,0,0,0,0,7434,5,露娜,67.57588327206706,-57.5,21.30000000000001,-28.400000000000546,6716.1,-198.7,-4509.1,8.3,352.9,3.7,0.0,0.6,3.7483329627982624,6716.1,-198.0,-4509.1,78.0,0.0,2,406；415,7525,4,露娜,32.49569202217482,-29.600000000000364,0.5,-13.400000000000546,6744.0,-219.5,-4494.1,250.0,351.0,-1.6,0.0,-0.8,1.788854381999832,6744.0,-218.8,-4494.1,90.0,0.0,1,405
206,task/0206.txt,20.0,2541,6,疾风,,,,,6802.3,-218.7,-4647.6,272.9,356.6,0.2,0.0,-4.1,4.104875150354758,6802.3,-218.1,-4647.6,90.0,0.0,0,,16,10,1,199.35273884571185,73.30995839584214,0,0,0,0,9745,7,威龙,34.97399033567619,-10.600000000000364,-3.9000000000000057,-33.099999999999454,6791.7,-222.6,-4680.7,129.8,354.4,0.0,0.0,0.0,0.0,6791.7,-221.9,-4680.7,120.0,0.0,0,,4613,6,威龙,73.30995839584214,-8.5,-4.100000000000023,72.70000000000073,6793.8,-222.8,-4574.9,277.6,352.4,3.5,0.2,-6.9,7.73950902835574,6793.8,-222.2,-4574.9,90.0,0.0,11,641；644；645；646；647；655；671；672；673；674；675
207,task/0207.txt,20.0,5801,7,银翼,,,,,3962.5,-250.3,-4555.5,109.9,0.0,0.0,0.0,0.0,0.0,3962.5,-249.7,-4555.5,90.0,0.0,10,18；36；37；38；39；40；41；42；43；61,19,17,1,289.0128404649603,3.623534186398442,0,0,1,1,0287,3,银翼,155.2581398832282,-118.90000000000009,2.8000000000000114,99.80000000000018,3843.6,-247.5,-4455.7,140.9,0.0,0.0,0.0,0.0,0.0,3843.6,-246.8,-4455.7,90.0,0.0,8,194；195；196；197；198；199；200；6,3466,7,银翼,3.623534186398442,1.699999999999818,0.0,-3.199999999999818,3964.2,-250.3,-4558.7,109.9,0.0,0.0,0.0,0.0,0.0,3964.2,-249.7,-4558.7,90.0,0.0,9,11；62；63；64；65；66；67；68；95
208,task/0208.txt,20.0,3681,3,骇爪,,,,,3712.6,-246.1,-4424.7,40.0,348.3,0.0,0.0,-0.3,0.3,3712.6,-245.5,-4424.7,110.0,0.0,1,415,20,17,2,232.6753202659745,5.243755944617911,0,0,2,2,3078,6,红狼,98.94271069664502,77.90000000000009,16.599999999999994,58.69999999999982,3790.5,-229.5,-4366.0,344.9,357.7,-0.2,-1.3,-3.7,3.9268307832143723,3790.5,-228.8,-4366.0,115.0,0.0,1,461,9651,3,蝶,4.6010868281313,0.0,-0.09999999999999432,-4.600000000000364,3712.6,-246.2,-4429.3,61.0,1.9,0.0,0.0,0.0,0.0,3712.6,-245.5,-4429.3,120.0,0.0,0,
209,task/0209.txt,20.0,3681,3,骇爪,,,,,3693.3,-250.3,-4521.3,48.6,0.0,0.0,0.0,0.0,0.0,3693.3,-249.7,-4521.3,90.0,0.0,13,101；102；28；29；41；44；45；46；47；48；49；50；51,20,17,2,247.8117228868914,2.031806725741345,0,0,2,2,3910,5,骇爪,162.75653596706937,149.0999999999999,2.8000000000000114,65.19999999999982,3842.4,-247.5,-4456.1,142.9,0.0,0.0,0.0,0.0,0.0,3842.4,-246.8,-4456.1,90.0,0.0,13,117；118；33；34；43；84；85；86；87；88；89；90；91,2703,3,疾风,1.6552945357246078,-1.5,0.0,0.6999999999998181,3691.8,-250.3,-4520.6,16.5,0.0,0.0,0.0,0.0,0.0,3691.8,-249.7,-4520.6,90.0,0.0,16,103；105；35；36；42；72；73；74；75；76；77；78；79；80；81；82
210,task/0210.txt,20.0,0853,6,威龙,,,,,3199.4,-163.9,-7640.0,0.0,0.0,0.0,0.0,0.0,0.0,3199.4,-164.0,-7640.0,89.9,0.0,0,,13,5,0,573.274874886842,,0,0,0,0,1790,5,银翼,506.74748149349483,441.4000000000001,2.8000000000000114,-248.89999999999964,3640.8,-161.1,-7888.9,29.7,359.3,0.0,0.0,0.0,0.0,3640.6,-160.5,-7888.6,53.1,0.0,3,1358；1359；1360,,,,,,,,,,,,,,,,,,,,,,0,
211,task/0211.txt,20.0,3277,7,蜂医,,,,,6575.3,-222.7,-4751.7,340.9,2.6,7.2,0.0,-2.5,7.621679604916491,6575.3,-222.0,-4751.7,90.0,0.0,0,,16,7,2,279.2307000902578,18.532282861663496,0,0,0,1,0817,5,露娜,232.57519214223967,175.59999999999945,13.5,151.89999999999964,6750.9,-209.2,-4599.8,120.9,349.0,0.0,0.0,0.0,0.0,6750.9,-208.6,-4599.8,90.0,0.0,2,797；798,2387,7,无名,16.814874367654337,16.5,0.5,-3.199999999999818,6591.8,-222.2,-4754.9,27.3,4.0,0.0,0.0,-0.0,0.0,6591.8,-221.6,-4754.9,81.5,0.0,0,
212,task/0212.txt,20.0,1723,8,骇爪,,,,,3654.3,-247.3,-4420.4,233.7,354.4,3.1,0.0,-2.3,3.8600518131237567,3654.3,-246.7,-4420.4,99.0,0.0,0,,20,6,2,227.35365021523606,3.824689749806078,0,0,2,2,8515,5,骇爪,158.45772306833075,143.39999999999964,4.0,67.29999999999927,3797.7,-243.3,-4353.1,345.7,359.0,-0.7,0.0,0.2,0.7280109889280517,3797.7,-242.6,-4353.1,100.0,0.0,13,1715；1716；1717；1718；1719；1720；1721；1722；1725；1726；1727；1728；1729,1397,8,比特,3.5057096285916107,-3.5,0.0,0.1999999999998181,3650.8,-247.3,-4420.2,308.8,347.3,0.0,0.0,0.0,0.0,3650.8,-246.7,-4420.2,120.0,0.0,0,
213,task/0213.txt,20.0,5873,3,蜂医,,,,,6694.3,-227.1,-4688.1,79.0,358.0,-2.3,0.0,0.4,2.33452350598575,6694.3,-226.6,-4688.1,82.9,0.0,0,,17,8,2,182.91649486407883,8.498687939146667,0,0,1,2,6558,4,红狼,129.3221172112492,-32.900000000000546,28.400000000000006,121.80000000000018,6661.4,-198.7,-4566.3,329.4,348.4,3.5,-0.1,-2.1,4.0828911325187205,6661.4,-198.0,-4566.3,90.0,0.0,0,,3940,3,蜂医,6.595452979136578,4.300000000000182,0.09999999999999432,5.0,6698.6,-227.0,-4683.1,241.0,356.5,-0.9,2.5,-1.3,2.958039891549808,6698.6,-226.4,-4683.1,90.0,0.0,0,
